content,score,label
tidak bisa verefikasi nomor hp. sampai waktunya habis pun tetep tidak ada verifikasi nya. buruk sekali,1,negatif
aplikasi gak jelas minta kode OTP gak pernah masuk masuk.,1,negatif
sangat membantu,5,positif
mantap,5,positif
"sulit, jelek, bug ferivikasi wajah gagal terus",1,negatif
"ah bayar tiap bulan, tapi setiap mau daftar antrean selalu gak bisa coba lagi coba lagi apaan sih,",1,negatif
"mau log in, lupa password, sudah berapa kali tidak di tanggapi",1,negatif
jos,4,positif
ok,5,positif
bagus banget,5,positif
"mau bikin janji datang kerumah sakit aj susah banget, padahal disitu ad quota pasiennya tp giliran dipilih malah dokternya GK praktek, gmn ceritanya coba. gk berhasil2 bikin janjinya, GK sinkron appnya sama rumah sakit yg dituju.",2,negatif
aplikasi ini sangat membantu,5,positif
mantp,5,positif
"kalau tidak mau mengirim verifikasi di SMS jangan adakan peraturan verifikasi SMS soal nya 300 detik saya tunggu verifikasi tidak muncul"" bukan sekali saya coba berulang kali , aplikasi ini sangat di perlukan tapi daftar nya susah",1,negatif
mantap,5,positif
"aplikasi jelek,ga bisa login padahal sudah benar memasukan data, gimana nih??????",1,negatif
"parah error terus, tinggal daftar jadi susah",1,negatif
aplikasi suka eror. kalau ujung² harus daftar manual buat apa.,1,negatif
"ga jelas banget?!, verifikasi nomer buat daftar bpjs, malah kode nya gak di kirim kirim, udah nunggu berkali kali, tetep gak di kirim kode nya! tolong dong banyak bug juga di apk ini, suka gak jelas tiba tiba keluar sendiri",1,negatif
tolong instansi ini jangan di korupsi #kemanusiaan,5,positif
kenapa aplikasi sering error,1,negatif
begini aplikasi milik negara??begitu memalukan bobroknya sistem pelayanan kesehatan di indonesia.sudah di coba berkali2 tetap aja gk bisa daftar alasan koneksi internet selalu mempersulit rakyatnya,1,positif
sangat membantu dan mudah interface nya,5,positif
"mohon di beri pengarahan ,kenapa klw buka informasi riwayat pelayanan tidak dpt di buka",1,negatif
"gak guna,dari dulu banget gak ada perbaikan.",1,positif
mohon diperbaiki setiap login selalu gagal!!!!,1,negatif
"aplikasi di batasi gak bisa dari 3 Nomor induk, padahal ini aplikasi untuk brobat bayar pula...jangan di batasi Bos jangan di bikin persulit..jangan di persulit kalo masih di gaji rakyat.",1,negatif
mantapp apk,5,positif
mudah mudahan yaaa Allah bpjs bisa selalu membantu rakyat bawah Aaamiinnnn yaaa Allah,5,positif
"coba deh perbaiki aplikasi nya apa lagi ini aplikasi untuk masyarakat Indonesia harusnya lebih bagus dari aplikasi aplikasi lain masa masukan kode otp tapi gak masuk masuk terus ke nomor udah coba 4x kalau aplikasi belum siap, RS gak perlu pake aplikasi kek ginian tambah ribet ! mksh",3,netral
bermanfaat,5,positif
apk gak bisa ngirim kode otp,1,negatif
keren langsung di aprove,5,positif
sangat bermanfaat dan pelayanan Cepat🤩🤩🤩🤩🥰🥰🥰,5,positif
good,5,positif
pelayanan sudah cukup bagus..cuma apa bener berobat di luar paskes sesuai kartu cuma bisa maksimal 3 x,5,positif
"lama bngt kode OTP,y :/ sudah kirim berkali2 tapi ga nonggol kode,y ke email. :/",4,positif
ini gimana si maksud nya.mau daftar aja susah amat nungguin otp nya g dapet2 kirain emali dapet otp nya kirain masukin no hp otp g masuk2..udah tau penting banget udah mah mau kontrol anak baru lahir harus buka mobile jkn dulu lg,2,negatif
app saat di gunakan daftar on line sangat susah sampai di minta otp berhari hari di ulang ulang gk ada otp yg masuk maklum app milik pemerintah pasti paham,1,negatif
sangat membantu,5,positif
simpel,5,positif
aplikasi bagus nih...,5,positif
sangat bangus,5,positif
bagus,5,positif
"jadi tidk bisa masuk,akun tdk terdaftar padahal sebelumnya tinggal masuk",1,negatif
"sangat membantu , terimakasih mobile jkn",5,positif
Gagal mulu daftarnya,1,negatif
"tolong di benerin karena keluar terus, dan ada pemberitahuan akun telah log in di perangkat lain",1,negatif
bagus dan mempermudah,5,positif
saya berterima kasi atas layan dan kerja samanya,5,positif
mezing,5,positif
tidak bisa login padahal sudah registrasi. keterangan anda blm terdaftar,1,negatif
Simple GK ribet untuk ganti faskes,5,negatif
"error mulu, sering bgt ke log out tiba2. udh bikin akun pakai nomor, tb2 info blm input nomor. gajelas blas ni aplikasi.",1,negatif
mudah di operasi kan,5,positif
apaan nih kata dokter nya suruh daftar antrian jam 00.00 terus pas mau nyoba daftar antrian katanya kuotanya udah penuh padahal saya nyoba daftar nya itu pas banget di jam 00.00 belum ada satu menit. ribet ah daftar antrian aja udah kaya lagi nge war tiket konser blackpink,1,negatif
ok,5,positif
mempermudah,5,positif
"aplikasinya cukup bagus,,tapi tlg dikurangi update2 nya deh,,jgn terlalu sering",5,positif
"stuck di verifikasi nomer handphone. selalu begitu, padahal udah masukin email.",1,negatif
kenapa ga bisa di instal parah bgt,2,negatif
dancok jkn itilll,1,positif
"baru mau daftar jkn mobile, kenapa pas masuk menu verikasi ga bisa, ga jelas mesti ngapain, karena satu2nya button yg ada & kemungkinan bisa diklik cuma tombol ""mulai"". tp berasa mencet tembok, blas nga ngefek n ngaruh. jd stag sampai situ sj. ga jelas ah.",1,positif
sangat bermanfaat,5,positif
Sangat membantu dalam pelayanan kesehatan,5,positif
"aplikasinya GK jelas Bnget, Biasanya Bisa tuh Daftar online aman² aja,ehh pas Dirujuk kRSUD malah nomer Telpon tidak Valid/Kosong padahal nomernya masih aktif Udh Bikin laporan GK di gubriss kalian niat apa GK sih bikin aplikasi ini bukannya mempermudah malah Mempersulit",1,positif
bagus aplikasi nya ramah dan cepat,5,positif
good,5,positif
sangat berguna,5,positif
pelayanan jadi sangat mudah,5,positif
gajelas bngt dah otp kaga muncul,1,negatif
Ribett.... ribett... banyak ini itu bikin pusing,1,negatif
sangat memuaskan,5,positif
bagus...sudah ada perubahan dalam pelayanan.,5,positif
💯👍,5,positif
sangat baik,5,positif
aplikasi harusya bisa menambahkan peserta diluar KArtu keluarga karna susah bagi kami jika orang tua mau berobat nomor antrian harus pakai aplikasi. mau daftar aplikasi nomor telpn saya dan istri sudah dipakai buat aplikasi bpjs masing2 karna pekerja p3k dan swasta harus dipisah pembayaran bpjs ya,1,negatif
3 dulu ya,3,netral
aku di manjakan depan apk ini. makasih,5,positif
aplikasi nyusain gak selesai2 sampai yang sakit ikut pusing daftar verifikasinyaaa .... ribetttt kebanyakan verifikasi ujung2 nya kembali sendiri...dan mulai ulang dari awalllll kesell bengetttt,1,negatif
"SAMPE KAPAN NUNGGUIN OTP MASUK KE SMS?! ULANG² DAFTAR, GA BISA! KL EMANG GA SIAP, GOSA MAKSA APA² PK MOBILE JKN!!!",1,negatif
selalu berusaha,5,positif
dengan Mobile JKN mempermudah mendapat nomer antrian pendaftaran,5,positif
"aplikasi apa ini saya verifikasi sudah 6x Gonta ganti nomor telfon masa tidak ada muncul notifikasinya, parah benar",1,negatif
dengan mobile JKN mempermudah pelayanan kesehatan,5,positif
BPJS kesehatan jos gandoss,5,positif
APLIKASI GAK GUNA DAN GAK MUTU,1,negatif
mantap,5,positif
keren membantu sekali,5,positif
semakin bagus,5,positif
oke,5,positif
"saya sangatbterbantu dengan aplikasi ini, proses cepat walaupun dihari libur",5,positif
"aplikasi sudah oke, tp masih sering keluar tiba2,harap diperbaiki.",5,positif
"aplikasi makin ribet mau daftar rmh sakit harus pake jkn sedangkan ortu saya sakit buat perfikasimuka saja tidak bisa""",1,negatif
saya mendaftar tidak bis,5,positif
sangat baik,5,positif
cukup membantu kami thnx JkN...,4,positif
susah betul mau daftar ribet,1,negatif
"daftar mau ke faskes 1 tp gagal terus dgn alesan belum terdaftar di faskes tersebut..pdhal sebelumnya ga pake aplikasi lancar.. inovasi itu yg mudahin pak,Bu ,om Tante..BKN malah mempersulit..",1,negatif
bagus..,5,positif
stuck pas mau verifikasi sms nya,1,negatif
hp saya android 7.....jadi tidak kompatible kalau upgrade lagi,1,negatif
sangat membantu,5,positif
Mudah dan bermutu,5,positif
sangat membantu makasih,5,positif
"mau verifikasi aja susah nya minta ampun, saran pak kalo bikin apk yang bener jangan nyusahin rakyat, mau berobat aja susah",1,negatif
mau daftar selalu gagal. apk gak guna.,1,negatif
terimakasih JKN.....keluarga saya sangat terbantu,5,positif
"apk jelek, gagal trs wktu login, disuruh pilih verifikasi namun tidak ada yg bisa dipilih, APK MEMPERSULIT, INGIN TAK MISUHI, kerja yg bener dong kalau bikin apk",1,negatif
Ripuh,1,negatif
sangat ber manfaat,5,positif
"aplikasi busuk, nyesal download, katanya mempermudah... teryata malah bikin sulit aja , daftar setengah mati tetap nggk bisa bahkan pulsa habis percuma buat kode verifikasi, teryata tetap nggk ada kodenya , aku sarankan jgn pernah download aplikasi ini",1,positif
"Mau verifikasi wajah gak bisa, verifikasi emailnya lama banget gak masuk juga",1,negatif
oke,5,positif
sangat membantu,5,positif
respon cepat,5,positif
maaaantap,5,positif
sangat membantu walau kadang rujukan faskes 1 tidak terdeteksi,5,positif
"Tolong tambahkan fitur info riwayat pelayanan bagi anggota keluarga, seperti anak dan istri. Karena fitur ini saya lihat hanya ada bagi pemilik akun saja.",4,positif
"aplikasi nggak ada perbaikan. mau masuk aja susahnya minta ampun salah nik lah salah capca lah. udah bener padahal. emang eror, bikin emosi tolong dong perbaiki lagi kinerjanya",1,negatif
terimakasih,5,positif
good,5,positif
"mau daftar tp captchanya gk bisa keluar, loading trs",1,negatif
error ah susah amat minta no verifikasi katanya nawarin program rehab,1,negatif
"aplikasi sampah, mau daftar harus verifikasi nomor telepon, udh 3 hari ga pernah dikirim kode otpnya, hapus aja aplikasinya kalau buat org emosi,, padahal udh download habisin data, mau bayar BPJS habisin uang, gitupun masih ga bisa daftar, hapus aja aplikasinya",1,negatif
membantu,5,positif
mohon untuk verifikasi wajah nya jangan di persulit.. padahal sudah mengikuti sesuai arahan tetapi.. masih tidak terverifikasi tolong pihak JKN Mobile di bantu🙏Terimakasih,5,positif
"Maaf sebelumnya.... alih alih menbantu ini malah menyusahkan, tiap bulan semakin ngadat aplikasinya,,,apa sebaiknya di perbaiki dulu ajaa,,,kami,,,sayaaa gapapa sabar nungguin klo mo diperbaiki,,,jangan kayak gini,,,kami pejuang sehaat butuh support yg maksimal. terimakasih",1,positif
ribet pendaftarannya,1,negatif
"saya daftar mau verifikasi lewat no.telepon tapi tidak bisa , nomer sudah di tulis dan sudah di klik tapi kode verifikasi tidak di kirim,padahal sudah di coba berulang kali",1,negatif
"habis di update pindah faskes pun gabisa dipencet,minimal 3 bulan tertera baru bisa pindah faskes,ini sudah 5 bulan lebih malah gabisa,aneh",1,negatif
mantabs membantu sekali,5,positif
mau masuk daftar susah,1,negatif
sangat membantu,5,positif
❤️❤️❤️mantap,5,positif
"aplikasi banyak bug, bentar2 ganti password bentar2 tunggu beberapa detik karena salah login. udh susah makin susah ngurus administrasi nya.",1,negatif
bagus,5,positif
"perbaikin lah,, gajelas bangat aplikasi,, mau daftar aja susah,, masak stuck di nungguin kode verifikasi via sms mulu,, gitu aja terus sampe firaun idup lagi",1,negatif
kenapa tidak bisa menerima kode OTP? saya sudah meminta kode OTP nomor hp tetapi tidak muncul mohon diperbaiki bug seperti itu terimakasih,1,negatif
"Tolong di kasih arahan untuk para pendaftar yg mau daftar online min, Kenapa setiap jadwal praktek saya daftar lewat mobile jkn tidak bisa&tertera kouta sudah habis sedangkan praktek baru buka jam 8 pagi&yg untuk siangnya jam 2 siang,, kouta habis. Gimanah bisa berobat kalo penangan online aja kurang maksimal. tolong dong min di bantu buat yg berobat.",1,negatif
bagis,4,positif
system Bagus mudah dan cepat,4,positif
"sangat bagus ,, memudahkan urusan",5,positif
aplikasi ini bener membantu,4,positif
"ini gimanaaa sih udah 3 kali ganti nomor tetep gabisa dikirim otp nya,gaada mulu di coba berkali kali gabisa bisa,aneh bukannya makin mudah malah makin puyeng",1,positif
keren,5,positif
ok,5,positif
"emang mau berharap apa kalau apk buatan pemerintah?bukannya mempermudah masyarakat malah dipersulit. Sekarang untuk pengurusan perpanjang SKCK ada syaratnya disuruh buat install ni apk,pas daftar disuruh masukan nomor telepon buat verifikasi udah 3 hari coba tetap kode otp nya tidak masuk. Lihat solusi di YouTube pun kebanyakan banyak keluhan mengenai kode otp tidak masuk disuruh buat isi pulsa minimal pulsa Rp.500 udah ku isi pulsa Rp. 20.000 pun tetap kode otp nya ga masuk"". Apk penyusah",1,positif
oke,5,positif
"hmmmm mau daftar susah banget,membuat saya bingung harus bagaimana lagi.trlebih lagi otp tdak mask dan frfkasi wajah pun bermasalah jga.",1,negatif
"buruk, tidak nyaman menggunakan apk ini. mau masuk apk saja terlalu lama loading dan layar tampilannya berwarna putih",1,negatif
terbaik🥰,5,positif
ga dapet kodw dari sms udah di tunggu dan di coba berjam jam tetep aja ga dapet,1,negatif
membntu,4,positif
aplikasi ngga jelass ngga berguna yang donwload udah mau sekarat ehh apknya buat daftar malah kaga bisa. lagian pake gini ginian segala kenapa sih.,1,negatif
"aplikasinya stuck di kirim sms kode verifikasi, segera perbaiki",1,positif
"masukan no telfon gak dapat kode otp masukan email, sudah pernah di daftarkan maksud nya ni gimana, gak jelas blasss",1,negatif
cukup mengatasi masalah,5,positif
ok,5,positif
"kouta berobat nya masa cuman 15 orang sih,",1,negatif
semua bagus,5,positif
good,5,positif
Mau daftar aja ngga bisa.,1,negatif
gooodd. manthap,5,positif
"aplikasi ini bisa digunakan apa gak sih, mau daftar aja stag diverifikasi OTP, sudah berulang kali kirim ulang kode tapi gak ada kode masuk. niat bikin aplikasi apa cuma biar cair anggaran saja.. 😞😞😞",1,negatif
ribet banget udah pernah daftar tapi apk jarang di buka langsung keluar akunya mau masuk jadi ribet kek gak guna jadinya 😭,1,negatif
bagus banget,5,positif
bagusss,5,positif
"niat g' sih buat aplikasi, verifikasi sulit udah senyum,kedip,hadap kiri. smp 10x tetep gagal. diulang lg lg ttp gagal. payah.",1,negatif
sangat membantu dn brmanfaat,5,positif
"ribet daftar kode lewat no hp segala harus ada pulsa, miskin amat pemerintah",1,negatif
good service,5,positif
mantap,5,positif
ok,5,positif
mudah sekali,5,positif
makin mudah makin praktis,5,positif
pelayanan baik dan ramah,5,positif
pelayanan kesehatan buruk💩menyusahkan orang sakit ribet,1,negatif
ini aplikasi mending di hapus aja sering eror pada saat pendaftaran ke faskes tingkat lanjut,1,negatif
susah kali mintak kode verifikasi nomor hpnya masak udh 4 hari ...,1,negatif
Mantap Aplikasinya dan memudahkan,5,positif
baik,5,positif
aplikasi ga jelas bgt mau daftar aja susah kode otp sms ga masuk' tinggal lewat wa apa susahnya si. makin mempersulit masyarakat aja👎🏻👎🏻👎🏻,1,negatif
SANGAT MUDAH DAN INFORMASINYA LENGKAP,5,positif
😍,5,positif
dulu aplikasi ini jelas bagus dan saya sudah sering memakai mobile jkn sekarang tambah aplikasinya tambah ribet dan gk jls sy pikir cm sy aj trnyta sy bc ulasan jg sama mohon diperbaiki kembali buat aplikasiny supaya kita semua bisa dimudahkn utk memakai mobile jkn,1,negatif
aplikasi error melulu,1,negatif
"Makin kesini apk nya makin gak jelas bukanya diperbaiki malah tambah gak jelas, bikin org sulit aja",1,positif
memudahkan pengguna,5,positif
"gila, kode otpnya mana kocak, 3x ulang ga dateng dateng,",1,negatif
sangat membantu karna bisa ambil antrian online juga di klinik lewat aplikasi JKN,5,positif
Alhamdulillah semua jadi lebih mudah,5,positif
sangat bermanfaat terimakasih buat semua keru yg bekerja di bidang ini,5,positif
ok bagus praktis. terima kasih,5,positif
"ini gimana ceritanya aplikasi minta update giliran di-update mau rubah data faskes saja nggak bisa muncul propinsi/ kabupatennya.... be profesional please, jangan cuma magabut",1,positif
susah mengupdate JKN MOBILE,1,negatif
aplikasi cukup baik,5,positif
bagus,4,positif
ok,5,positif
aplikasi nya bisa di pake cuma pake data ajh... sedangkan dirumah pasang wifi bnrbnr ga bisa dibuka sama sekali kesalahan jaringan terus padahal sinyal bagus stabil. terus kadang tiba tiba log out sendiri,2,positif
app masih banyak bug... udah daftar online no antriannya gak ada... mau daftar lagi no antrian hanya bisa diambil dihari yg sama....,1,negatif
memudahkan segala persoalan kesehatan,5,positif
ok,5,positif
"Download sudah,mau verifikasi gagal terus...seburuk inikah aplikasinya buatan pemerintah...",1,negatif
Mempermudah yang susah,5,positif
"saran saya kalau kode otp melalui WhatsApp saja jangan melalui sms, tidak semua orang punya pulsa dek untuk menerima kode otp",1,negatif
ga bsa daftar online,1,negatif
saya sangat puas,5,positif
bagi yg nggak bisa masuk kode veripikasi di mohon isi ulang dulu pulsa ke nomer yg di daptarkan soal nya memakay admin minimal 5000 sekedar info,5,positif
Aplikasi apa ini. mau daftar tapi pas perekaman wajah nggak bisa kebaca nggak bisa lanjut daftar. mending uninstall aja,1,negatif
"aplikasi ribet, bagus aplikasi my asn, mau daftar ke faskes pake online ribet, pernah ke puskesmas ambil rujukan, pas tiba giliran antrian jaringan hilang terputus padahal Sdh jam terakhir, akhirnya disuruh kembali besok, tentu makan biaya lagi, ini BPJS cuma ambil potongan gaji banyak dan dobel perorang padahal pelayanan bobrok",2,negatif
sangat bagus,5,positif
lagi mau daftar aplikasi tapi kode verifikasi OTP no hp ga muncul muncul sih ga ke kirim kirim berkali-kali coba tetep ga bisa,1,negatif
sangat membantu,5,positif
mudah,5,positif
"Katanya membantu masyarakat, tapi kenapa bikin susahhh rakyat sendiri!?!?!?!?!? pindah faskes aja error banget. ambil tim IT darimana sih? jangan bilang kalian pergi ambil tim IT yang otaknya kek otak udang. makanya error begini saja tidak bisa ditangani!!!. lancai betul program pemerintah begini",1,negatif
good,5,positif
"saya mau daftar tapi setiap memasukkan no hp verifikasi nya nggk dikirim"" no juga tidak salah sampai diulang beberapa kali masih tidak dikirim",1,negatif
aplikasi ga guna ga jelas. ini itu harus daftar dlu sedangkan daftarnya susah stengah mati. ga guna bgt,1,negatif
good,5,positif
aplikasi aneh sekali gagal ferifikasi tidak bisa digunakan lagi . karena nama penguna sudah masuk terdaftar tpi tidak punya alamat induk email atau no hp . sedangkan untuk masuk ke akun kita harus paki no atau email . harusnya jika alamat email atau no hp tidak memenuhi sarat ferifikasi ya harus gagal terdaftar agar kita bisa mengulangi lagi daftar dengan no induk kita .,1,negatif
mantab,5,positif
mau daptar aja ribet kali,1,negatif
baik,5,positif
Alhamdulillah sangat membantu,5,positif
lebih detail,5,positif
"Lama bener kirim kode SMS nya, ini aplikasi terurus gak ya? aplikasi yang diperlukan tapi seancur ini",1,negatif
sangat mudah memahami panduanya,5,positif
"mau daftar susah bgt jadi susah mau berobat, verifikasi wajah gagal terus",1,negatif
"punya saya tiba"" ga bisa d buka... tak tahu alasannya",4,positif
"nambah pengalaman, praktis dan lebih mudah",5,positif
"pegaduan langsung di close seharusnya beri kesempatan untuk bisa unggah kronologi,tolong pelayanan ke publik di perhatikan masa pasien di batasi fungsi jkn online buat apa kalau akhirnya kita di suruh balik lagi besok lusa ,parah",2,negatif
aplikasi yang sangat tidak membantu untuk berulang kali tidak mendapatkan kode verifikasi,1,positif
"aplikasi babi yaa ini dahh padahal bpjs udah aktif dan udah pernah masuk aplikasi ini, ehh tahu² keluar sendiri dan sampe sekarang tidak bisa masuk lagi dengan alasan macam²",1,negatif
Bagus,5,positif
"saya mau daftar akun,tapi saat verifikasi wajah selalu gagal,mentang"" saya jelek apa",1,negatif
bagus sekali,5,positif
sangat bermanfaat,5,positif
RIBET,1,negatif
"masa berobat malam hari ke puskesmas tidak bisa menggunakan BPJS, terus apa gunanya bayar perbulan kalo berobat malam hari tidak bisa digunakan, tolong pemerintah di perhatikan untuk oknum2 seperti ini",5,positif
mantap,5,positif
Good,5,positif
mudah digunakan,5,positif
good,5,positif
pas daftar di bagian untuk memilih apa yaa tempat medisnya itu ngak bisa di pencet teruss pemilihan lokasi kab/prov nya ngak bisa di pencet kalo yg lain bisa kecuali yang ituu kenapa yaaa udah di coba beberapa kali tetep masalahnya di situu mohon di perbaiki apk ini bagus banget padahal buat mempermudah buat BPJS dari pada harus ke rumah sakit atau klinik buat buat mohon kerjanya,1,positif
membantu sekali untuk mempermudah di era digital,5,positif
puas gak pake lama,5,positif
sering error sendiri saat butuh selalu ada aja gangguan,1,negatif
Keren. Mudah,5,positif
Terimakasih...,5,positif
kenapa verifikasi no handphone saya tidak masuk²?,1,negatif
membantu,5,positif
susah banget mau verifikasi,1,negatif
nunggu verifikasi nomer aja lama bgt. tolong di perbaiki lagi,2,positif
kode otp selalu tidak masuk mempersulit pengguna yang mambutuhkan,1,negatif
sangat membantu dengan adanya aplikasi ini terima kasih...,5,positif
"verifikasi otp nomor lama nya minta ampun, udh coba berkali kali pake beda beda nomor awalnya dikira nomornya yg bermasalah setelah 3 nomor oh apk nya yg bermasalah, sedangkan email verifikasi nya cepet. anehhhhhh",1,negatif
"ini gimana ya,dh masuk menu daptar poto wajah tpi gk ada tombol klik nya,30 menit pantengin muka,gk kebaca baca sistem,hadeh...bantuan kula mimin..lier aing teh..kolot rwat jalan titah pake m jkn..tpi kie aplikasina...ngapantengan benget 30 menit geh...eweuh hasilna",1,positif
mau daftrin orgtua jkn. KEPERLUAN BEROBAT SEKALI LAGI KEPERLUAN BEROBAT... namany org sakit ya udh sih jangan d persulit pake apk sgala. udh mah eror mulu. kode otp ga msuk2. hrus verifikasi wajah berkali2 gagal terus. ribet bgt bpjs. plis ni rating jelek bgt. klo g d benerin lama2 pd males lohh ini. tolong dong d benerin ini kode otp g msuk2 pdhl nomor dah bener. wajah aja g bisa2 msuk veriv.,1,negatif
mantap,5,positif
preet lahhh...,5,positif
"Sempat ragu mau instal tapi ga ada cara lain buat kepentingan bpjs. Registrasi sempat nyendat waktu verifikasi nomor telpon karena otp gagal kirim terus. Ternyata gagal kirim otp karena pulsa 1 rupiah. Coba beli pulsa 5000 otp langsung terkirim. Jadi yg susah dapat otp itu karena pulsa tidak cukup untuk biaya sms yang masuk. Pasti bertanya, bukannya terima sms itu gratis? Untuk pengiriman otp itu ada yang memahg harus bayar.",5,negatif
"Sangat membantu, walaupun dgn beberapa fitur yg kurang pas",4,positif
good,5,positif
apk payah verivikasi sulit gadaa niatan utk diperbaiki kah ini?,1,negatif
"mau daftar tidak bisa, merubah faskes malah alamatnya ikut berubah ke alamat lama. Aplikasi pemerintah gak beres semua.",1,negatif
Alhamdulillah sangat membantu dalam proses pengurusan dokumen kesehatan..🙏🏻,5,positif
aplikasi apaan lni mau daftar nunggu kode otp sampai diulang ulang beberapa kali ngga ada masuk kode otp nya.,1,negatif
sangat puas,5,positif
tolong lah diperbaiki sebaik baiknyaa banyak bug 🙏🙏🙏🙏🙏🙏,1,negatif
mudah aplikasinya,5,positif
bagus,5,positif
top,5,positif
bug bug,1,negatif
mau daftar gak bisa...,2,negatif
pelayanan sudah baik,5,positif
aman terkendali,4,positif
Alhamdulillah,5,positif
bagus sekali .. pelayanan juga okr,5,positif
Alhamdulillah mantap....,5,positif
ini kenapa mau update faskes tidak bisa diakses.. tidak bisa pilih propinsi dan seterusnya..,3,negatif
"Aplikasi keren 👍, sangat mempermudah untuk mengubah data peserta, tidak perlu cape"" lagi ke kantor BPJS, mau hubungi kantor BPJS nomor telepon pun tersedia diaplikasi ini, super keren, aku kasih bintang 5 Dhe 👍",5,positif
"mau daftar, tapi verifikasi lewat sms gk bisa terus",1,negatif
rusak!!! kode verifikasi OTPnya gk kekirim padahal udah ganti2 nomor masih gk bisa,1,negatif
"aplikasi pea kebanyakan bug, kirim SMS aja lama banget nunggu nya.. paling bener langsung ke kantor nya aja.",1,negatif
"aplikasi ga jelas , kirim kode verifikasi gagal terusss , Aplikasinya jelek atau cs nya yg ga becus",1,negatif
"dari kemarin gak bisa masuk semua betul, tapi salah terus...",1,negatif
login otp g keluar keluar aplikasi busuk,1,negatif
bagus,5,positif
Untuk di perthanakan.. Mudah mengaksesnya.. Mudah di Pahami,5,positif
mantap,5,positif
pelayanan sangat ramah,5,positif
sangat sangat membantu,5,positif
"aplikasi buruk, mempersulit, bug, dan proses stuck di verifikasi pas lagi buat akun. aneh, kode otp no telfon ga masuk ke sms/wa samsek.. malah makin nunggu lama waktu nya",1,negatif
bagus d ga pernah terkendali sip dah,5,positif
mantapz,5,positif
Bagus banget aplikasinya sangat membantu,5,positif
lol server ampas ngirim sms buat verifikasi nomer aja gk muncul',1,negatif
mantap,5,positif
BPJS indonesia semakin membantu rakyat kecil untuk biaya kesehatan,5,positif
Tepat dan cepat.,5,positif
aplikasi ga jls . kode OTP dari semalem nyoba berkali kali ga nongol nongol,1,negatif
oke,5,positif
pelayanan bagus dan cepat,5,positif
verifikasi sampe 6x blm masuk² SMS nya,1,negatif
"Untuk skrng cukup bagus, udah bisa scan wajah... Respect",4,positif
layanan cepat,5,positif
"pelayanan bagus, terimakasih 🙏",5,positif
sangat baik pelayanan nya,5,positif
"pelayanan cepat,ramah dan memuaskan.",5,positif
Oke sesuai harapan,5,positif
oke,5,positif
mudah dan mantap,5,positif
banyak manfaatny,5,positif
"punya saya kenapa di nonaktifkan min, sedangkan keluarga saya yang masih satu KK BPJS nya masih aktif",3,netral
emang kalo bikin aplikasi gapernah bener,1,negatif
alhamdulillah dengan aplikasi ini. saya sangat terbantu sekali.aplikasi yg bikin tekanan darah menaik. aplikasi ini sangat berguna sekali untuk yg tensi darah nya tinggi. terima kasih.,5,positif
