score,at,content,label
1,2025-05-30 05:54:53,"EH MULYANTO APLIKASI LU BENERIN, KALO VERIFIKASI WAJAH GAPERNAH BISA DIHAPUS AJA GANTI CARA LIN BUAT VERIFIKASI, TUJUANNYA MAU MEMPERMUDAH ATAU MEMPERSULIT? KALO APLIKASI GA BERGUNA GINI HAPUS AJA GAUSAH GAYA GAYAAN ONLINE ONLINE KALO GA BECUS BIKIN APLIKASI MAH. CARA VERIFIKASI LAIN BANYAK KALO GABISA PAKE KAMERA CARI ALTERNATIF LAIN DONG MIKIR MAKANYA JANGAN MATI ISI KEPALANYA. APLIKASI SANGAT TIDAK DISARANKAN KARENA SANGAT TIDAK BERGUNA. OIYA WEB LU BENERIN JUGA KOCAK.",positif
1,2025-05-30 05:53:34,"apa lah, semua di sulit2in, adanya cuman dikorup semua tuh anggaran dari data penduduk. mau verifikasi ngadep ke matahari juga nggak bisa jir, emang kalo apk dipegang pemerintah ikut2tan bobrok",positif
5,2025-05-30 05:44:16,"aplikasi sudah diperbaiki, sekarang berjalan dengan baik, terima kasih",positif
1,2025-05-30 05:22:02,tidak bisa verefikasi nomor hp. sampai waktunya habis pun tetep tidak ada verifikasi nya. buruk sekali,negatif
1,2025-05-30 05:11:08,aplikasi gak jelas minta kode OTP gak pernah masuk masuk.,negatif
5,2025-05-30 04:53:11,sangat membantu,positif
5,2025-05-30 04:47:34,mantap,positif
1,2025-05-30 04:38:53,"sulit, jelek, bug ferivikasi wajah gagal terus",negatif
1,2025-05-30 04:36:57,"ah bayar tiap bulan, tapi setiap mau daftar antrean selalu gak bisa coba lagi coba lagi apaan sih,",negatif
1,2025-05-30 04:36:33,"mau log in, lupa password, sudah berapa kali tidak di tanggapi",negatif
4,2025-05-30 04:31:38,jos,positif
5,2025-05-30 04:22:13,ok,positif
5,2025-05-30 04:08:47,bagus banget,positif
2,2025-05-30 04:07:55,"mau bikin janji datang kerumah sakit aj susah banget, padahal disitu ad quota pasiennya tp giliran dipilih malah dokternya GK praktek, gmn ceritanya coba. gk berhasil2 bikin janjinya, GK sinkron appnya sama rumah sakit yg dituju.",negatif
5,2025-05-30 03:55:47,aplikasi ini sangat membantu,positif
5,2025-05-30 03:53:07,mantp,positif
1,2025-05-30 03:47:22,"kalau tidak mau mengirim verifikasi di SMS jangan adakan peraturan verifikasi SMS soal nya 300 detik saya tunggu verifikasi tidak muncul"" bukan sekali saya coba berulang kali , aplikasi ini sangat di perlukan tapi daftar nya susah",negatif
5,2025-05-30 03:43:01,mantap,positif
1,2025-05-30 03:42:11,"aplikasi jelek,ga bisa login padahal sudah benar memasukan data, gimana nih??????",negatif
1,2025-05-30 03:36:11,"parah error terus, tinggal daftar jadi susah",negatif
1,2025-05-30 03:25:38,aplikasi suka eror. kalau ujung² harus daftar manual buat apa.,negatif
1,2025-05-30 03:24:09,"ga jelas banget?!, verifikasi nomer buat daftar bpjs, malah kode nya gak di kirim kirim, udah nunggu berkali kali, tetep gak di kirim kode nya! tolong dong banyak bug juga di apk ini, suka gak jelas tiba tiba keluar sendiri",negatif
5,2025-05-30 03:22:49,tolong instansi ini jangan di korupsi #kemanusiaan,positif
1,2025-05-30 03:21:49,kenapa aplikasi sering error,negatif
1,2025-05-30 03:19:47,begini aplikasi milik negara??begitu memalukan bobroknya sistem pelayanan kesehatan di indonesia.sudah di coba berkali2 tetap aja gk bisa daftar alasan koneksi internet selalu mempersulit rakyatnya,positif
5,2025-05-30 03:15:06,sangat membantu dan mudah interface nya,positif
1,2025-05-30 03:06:07,"mohon di beri pengarahan ,kenapa klw buka informasi riwayat pelayanan tidak dpt di buka",negatif
1,2025-05-30 03:00:42,"gak guna,dari dulu banget gak ada perbaikan.",positif
1,2025-05-30 03:00:16,mohon diperbaiki setiap login selalu gagal!!!!,negatif
1,2025-05-30 02:57:14,"aplikasi di batasi gak bisa dari 3 Nomor induk, padahal ini aplikasi untuk brobat bayar pula...jangan di batasi Bos jangan di bikin persulit..jangan di persulit kalo masih di gaji rakyat.",negatif
5,2025-05-30 02:50:44,mantapp apk,positif
5,2025-05-30 02:42:33,mudah mudahan yaaa Allah bpjs bisa selalu membantu rakyat bawah Aaamiinnnn yaaa Allah,positif
3,2025-05-30 02:35:07,"coba deh perbaiki aplikasi nya apa lagi ini aplikasi untuk masyarakat Indonesia harusnya lebih bagus dari aplikasi aplikasi lain masa masukan kode otp tapi gak masuk masuk terus ke nomor udah coba 4x kalau aplikasi belum siap, RS gak perlu pake aplikasi kek ginian tambah ribet ! mksh",netral
5,2025-05-30 02:22:48,bermanfaat,positif
1,2025-05-30 02:05:34,apk gak bisa ngirim kode otp,negatif
5,2025-05-30 01:40:44,keren langsung di aprove,positif
5,2025-05-30 01:37:22,sangat bermanfaat dan pelayanan Cepat🤩🤩🤩🤩🥰🥰🥰,positif
5,2025-05-30 01:37:13,good,positif
5,2025-05-30 01:18:04,pelayanan sudah cukup bagus..cuma apa bener berobat di luar paskes sesuai kartu cuma bisa maksimal 3 x,positif
4,2025-05-30 01:02:40,"lama bngt kode OTP,y :/ sudah kirim berkali2 tapi ga nonggol kode,y ke email. :/",positif
2,2025-05-30 00:47:25,ini gimana si maksud nya.mau daftar aja susah amat nungguin otp nya g dapet2 kirain emali dapet otp nya kirain masukin no hp otp g masuk2..udah tau penting banget udah mah mau kontrol anak baru lahir harus buka mobile jkn dulu lg,negatif
1,2025-05-30 00:46:58,app saat di gunakan daftar on line sangat susah sampai di minta otp berhari hari di ulang ulang gk ada otp yg masuk maklum app milik pemerintah pasti paham,negatif
5,2025-05-30 00:43:44,sangat membantu,positif
5,2025-05-30 00:20:41,simpel,positif
5,2025-05-30 00:05:42,aplikasi bagus nih...,positif
5,2025-05-30 00:02:50,sangat bangus,positif
5,2025-05-29 23:59:59,bagus,positif
1,2025-05-29 23:33:38,"jadi tidk bisa masuk,akun tdk terdaftar padahal sebelumnya tinggal masuk",negatif
5,2025-05-29 23:21:48,"sangat membantu , terimakasih mobile jkn",positif
1,2025-05-29 23:09:11,Gagal mulu daftarnya,negatif
1,2025-05-29 22:54:36,"tolong di benerin karena keluar terus, dan ada pemberitahuan akun telah log in di perangkat lain",negatif
5,2025-05-29 22:11:22,bagus dan mempermudah,positif
5,2025-05-29 21:57:25,saya berterima kasi atas layan dan kerja samanya,positif
5,2025-05-29 21:31:20,mezing,positif
1,2025-05-29 20:37:20,tidak bisa login padahal sudah registrasi. keterangan anda blm terdaftar,negatif
5,2025-05-29 20:01:02,Simple GK ribet untuk ganti faskes,negatif
1,2025-05-29 18:53:01,"error mulu, sering bgt ke log out tiba2. udh bikin akun pakai nomor, tb2 info blm input nomor. gajelas blas ni aplikasi.",negatif
5,2025-05-29 18:21:24,mudah di operasi kan,positif
1,2025-05-29 17:20:10,apaan nih kata dokter nya suruh daftar antrian jam 00.00 terus pas mau nyoba daftar antrian katanya kuotanya udah penuh padahal saya nyoba daftar nya itu pas banget di jam 00.00 belum ada satu menit. ribet ah daftar antrian aja udah kaya lagi nge war tiket konser blackpink,negatif
5,2025-05-29 17:06:11,ok,positif
5,2025-05-29 16:49:15,mempermudah,positif
5,2025-05-29 16:28:43,"aplikasinya cukup bagus,,tapi tlg dikurangi update2 nya deh,,jgn terlalu sering",positif
1,2025-05-29 16:27:53,"stuck di verifikasi nomer handphone. selalu begitu, padahal udah masukin email.",negatif
2,2025-05-29 16:19:04,kenapa ga bisa di instal parah bgt,negatif
1,2025-05-29 16:15:44,dancok jkn itilll,positif
1,2025-05-29 15:46:31,"baru mau daftar jkn mobile, kenapa pas masuk menu verikasi ga bisa, ga jelas mesti ngapain, karena satu2nya button yg ada & kemungkinan bisa diklik cuma tombol ""mulai"". tp berasa mencet tembok, blas nga ngefek n ngaruh. jd stag sampai situ sj. ga jelas ah.",positif
5,2025-05-29 15:29:16,sangat bermanfaat,positif
5,2025-05-29 15:28:09,Sangat membantu dalam pelayanan kesehatan,positif
1,2025-05-29 15:18:59,"aplikasinya GK jelas Bnget, Biasanya Bisa tuh Daftar online aman² aja,ehh pas Dirujuk kRSUD malah nomer Telpon tidak Valid/Kosong padahal nomernya masih aktif Udh Bikin laporan GK di gubriss kalian niat apa GK sih bikin aplikasi ini bukannya mempermudah malah Mempersulit",positif
5,2025-05-29 15:14:38,bagus aplikasi nya ramah dan cepat,positif
5,2025-05-29 15:11:06,good,positif
5,2025-05-29 15:04:02,sangat berguna,positif
5,2025-05-29 15:01:58,pelayanan jadi sangat mudah,positif
1,2025-05-29 14:47:57,gajelas bngt dah otp kaga muncul,negatif
1,2025-05-29 14:41:49,Ribett.... ribett... banyak ini itu bikin pusing,negatif
5,2025-05-29 14:41:06,sangat memuaskan,positif
5,2025-05-29 14:25:39,bagus...sudah ada perubahan dalam pelayanan.,positif
5,2025-05-29 14:19:55,💯👍,positif
5,2025-05-29 14:05:50,sangat baik,positif
1,2025-05-29 13:47:39,aplikasi harusya bisa menambahkan peserta diluar KArtu keluarga karna susah bagi kami jika orang tua mau berobat nomor antrian harus pakai aplikasi. mau daftar aplikasi nomor telpn saya dan istri sudah dipakai buat aplikasi bpjs masing2 karna pekerja p3k dan swasta harus dipisah pembayaran bpjs ya,negatif
3,2025-05-29 13:43:18,3 dulu ya,netral
5,2025-05-29 13:31:48,aku di manjakan depan apk ini. makasih,positif
1,2025-05-29 13:20:40,aplikasi nyusain gak selesai2 sampai yang sakit ikut pusing daftar verifikasinyaaa .... ribetttt kebanyakan verifikasi ujung2 nya kembali sendiri...dan mulai ulang dari awalllll kesell bengetttt,negatif
1,2025-05-29 13:14:50,"SAMPE KAPAN NUNGGUIN OTP MASUK KE SMS?! ULANG² DAFTAR, GA BISA! KL EMANG GA SIAP, GOSA MAKSA APA² PK MOBILE JKN!!!",negatif
5,2025-05-29 13:08:32,selalu berusaha,positif
5,2025-05-29 13:07:03,dengan Mobile JKN mempermudah mendapat nomer antrian pendaftaran,positif
1,2025-05-29 13:06:18,"aplikasi apa ini saya verifikasi sudah 6x Gonta ganti nomor telfon masa tidak ada muncul notifikasinya, parah benar",negatif
5,2025-05-29 13:03:26,dengan mobile JKN mempermudah pelayanan kesehatan,positif
5,2025-05-29 13:01:49,BPJS kesehatan jos gandoss,positif
1,2025-05-29 13:00:05,APLIKASI GAK GUNA DAN GAK MUTU,negatif
5,2025-05-29 12:53:44,mantap,positif
5,2025-05-29 12:52:10,keren membantu sekali,positif
5,2025-05-29 12:51:02,semakin bagus,positif
5,2025-05-29 12:46:48,oke,positif
5,2025-05-29 12:20:02,"saya sangatbterbantu dengan aplikasi ini, proses cepat walaupun dihari libur",positif
5,2025-05-29 12:06:42,"aplikasi sudah oke, tp masih sering keluar tiba2,harap diperbaiki.",positif
1,2025-05-29 11:54:54,"aplikasi makin ribet mau daftar rmh sakit harus pake jkn sedangkan ortu saya sakit buat perfikasimuka saja tidak bisa""",negatif
5,2025-05-29 11:54:21,saya mendaftar tidak bis,positif
5,2025-05-29 11:12:56,sangat baik,positif
4,2025-05-29 11:12:11,cukup membantu kami thnx JkN...,positif
1,2025-05-29 10:57:05,susah betul mau daftar ribet,negatif
1,2025-05-29 10:56:49,"daftar mau ke faskes 1 tp gagal terus dgn alesan belum terdaftar di faskes tersebut..pdhal sebelumnya ga pake aplikasi lancar.. inovasi itu yg mudahin pak,Bu ,om Tante..BKN malah mempersulit..",negatif
5,2025-05-29 10:51:11,bagus..,positif
1,2025-05-29 10:49:36,stuck pas mau verifikasi sms nya,negatif
1,2025-05-29 10:44:46,hp saya android 7.....jadi tidak kompatible kalau upgrade lagi,negatif
5,2025-05-29 10:43:21,sangat membantu,positif
5,2025-05-29 10:42:03,Mudah dan bermutu,positif
5,2025-05-29 10:37:04,sangat membantu makasih,positif
1,2025-05-29 10:32:39,"mau verifikasi aja susah nya minta ampun, saran pak kalo bikin apk yang bener jangan nyusahin rakyat, mau berobat aja susah",negatif
1,2025-05-29 10:30:27,mau daftar selalu gagal. apk gak guna.,negatif
5,2025-05-29 10:22:41,terimakasih JKN.....keluarga saya sangat terbantu,positif
1,2025-05-29 10:09:35,"apk jelek, gagal trs wktu login, disuruh pilih verifikasi namun tidak ada yg bisa dipilih, APK MEMPERSULIT, INGIN TAK MISUHI, kerja yg bener dong kalau bikin apk",negatif
1,2025-05-29 10:01:37,Ripuh,negatif
5,2025-05-29 09:56:33,sangat ber manfaat,positif
1,2025-05-29 09:46:24,"aplikasi busuk, nyesal download, katanya mempermudah... teryata malah bikin sulit aja , daftar setengah mati tetap nggk bisa bahkan pulsa habis percuma buat kode verifikasi, teryata tetap nggk ada kodenya , aku sarankan jgn pernah download aplikasi ini",positif
1,2025-05-29 09:39:14,"Mau verifikasi wajah gak bisa, verifikasi emailnya lama banget gak masuk juga",negatif
5,2025-05-29 09:36:44,oke,positif
5,2025-05-29 09:36:30,sangat membantu,positif
5,2025-05-29 09:35:23,respon cepat,positif
5,2025-05-29 09:34:41,maaaantap,positif
5,2025-05-29 09:17:18,sangat membantu walau kadang rujukan faskes 1 tidak terdeteksi,positif
4,2025-05-29 09:16:26,"Tolong tambahkan fitur info riwayat pelayanan bagi anggota keluarga, seperti anak dan istri. Karena fitur ini saya lihat hanya ada bagi pemilik akun saja.",positif
1,2025-05-29 09:07:02,"aplikasi nggak ada perbaikan. mau masuk aja susahnya minta ampun salah nik lah salah capca lah. udah bener padahal. emang eror, bikin emosi tolong dong perbaiki lagi kinerjanya",negatif
5,2025-05-29 09:06:36,terimakasih,positif
5,2025-05-29 09:04:42,good,positif
1,2025-05-29 09:03:52,"mau daftar tp captchanya gk bisa keluar, loading trs",negatif
1,2025-05-29 09:03:32,error ah susah amat minta no verifikasi katanya nawarin program rehab,negatif
1,2025-05-29 08:47:56,"aplikasi sampah, mau daftar harus verifikasi nomor telepon, udh 3 hari ga pernah dikirim kode otpnya, hapus aja aplikasinya kalau buat org emosi,, padahal udh download habisin data, mau bayar BPJS habisin uang, gitupun masih ga bisa daftar, hapus aja aplikasinya",negatif
5,2025-05-29 08:46:14,membantu,positif
5,2025-05-29 08:36:07,mohon untuk verifikasi wajah nya jangan di persulit.. padahal sudah mengikuti sesuai arahan tetapi.. masih tidak terverifikasi tolong pihak JKN Mobile di bantu🙏Terimakasih,positif
1,2025-05-29 08:31:31,"Maaf sebelumnya.... alih alih menbantu ini malah menyusahkan, tiap bulan semakin ngadat aplikasinya,,,apa sebaiknya di perbaiki dulu ajaa,,,kami,,,sayaaa gapapa sabar nungguin klo mo diperbaiki,,,jangan kayak gini,,,kami pejuang sehaat butuh support yg maksimal. terimakasih",positif
1,2025-05-29 08:30:46,ribet pendaftarannya,negatif
1,2025-05-29 08:17:45,"saya daftar mau verifikasi lewat no.telepon tapi tidak bisa , nomer sudah di tulis dan sudah di klik tapi kode verifikasi tidak di kirim,padahal sudah di coba berulang kali",negatif
1,2025-05-29 08:05:38,"habis di update pindah faskes pun gabisa dipencet,minimal 3 bulan tertera baru bisa pindah faskes,ini sudah 5 bulan lebih malah gabisa,aneh",negatif
5,2025-05-29 08:03:35,mantabs membantu sekali,positif
1,2025-05-29 07:39:44,mau masuk daftar susah,negatif
5,2025-05-29 07:38:01,sangat membantu,positif
5,2025-05-29 07:33:24,❤️❤️❤️mantap,positif
1,2025-05-29 07:29:23,"aplikasi banyak bug, bentar2 ganti password bentar2 tunggu beberapa detik karena salah login. udh susah makin susah ngurus administrasi nya.",negatif
5,2025-05-29 07:26:21,bagus,positif
1,2025-05-29 07:21:05,"perbaikin lah,, gajelas bangat aplikasi,, mau daftar aja susah,, masak stuck di nungguin kode verifikasi via sms mulu,, gitu aja terus sampe firaun idup lagi",negatif
1,2025-05-29 07:10:00,kenapa tidak bisa menerima kode OTP? saya sudah meminta kode OTP nomor hp tetapi tidak muncul mohon diperbaiki bug seperti itu terimakasih,negatif
1,2025-05-29 07:09:23,"Tolong di kasih arahan untuk para pendaftar yg mau daftar online min, Kenapa setiap jadwal praktek saya daftar lewat mobile jkn tidak bisa&tertera kouta sudah habis sedangkan praktek baru buka jam 8 pagi&yg untuk siangnya jam 2 siang,, kouta habis. Gimanah bisa berobat kalo penangan online aja kurang maksimal. tolong dong min di bantu buat yg berobat.",negatif
4,2025-05-29 07:04:02,bagis,positif
4,2025-05-29 07:03:54,system Bagus mudah dan cepat,positif
5,2025-05-29 06:59:00,"sangat bagus ,, memudahkan urusan",positif
4,2025-05-29 06:33:02,aplikasi ini bener membantu,positif
1,2025-05-29 06:18:46,"ini gimanaaa sih udah 3 kali ganti nomor tetep gabisa dikirim otp nya,gaada mulu di coba berkali kali gabisa bisa,aneh bukannya makin mudah malah makin puyeng",positif
5,2025-05-29 06:15:44,keren,positif
5,2025-05-29 06:12:34,ok,positif
1,2025-05-29 06:03:15,"emang mau berharap apa kalau apk buatan pemerintah?bukannya mempermudah masyarakat malah dipersulit. Sekarang untuk pengurusan perpanjang SKCK ada syaratnya disuruh buat install ni apk,pas daftar disuruh masukan nomor telepon buat verifikasi udah 3 hari coba tetap kode otp nya tidak masuk. Lihat solusi di YouTube pun kebanyakan banyak keluhan mengenai kode otp tidak masuk disuruh buat isi pulsa minimal pulsa Rp.500 udah ku isi pulsa Rp. 20.000 pun tetap kode otp nya ga masuk"". Apk penyusah",positif
5,2025-05-29 05:49:02,oke,positif
1,2025-05-29 05:40:03,"hmmmm mau daftar susah banget,membuat saya bingung harus bagaimana lagi.trlebih lagi otp tdak mask dan frfkasi wajah pun bermasalah jga.",negatif
1,2025-05-29 05:26:47,"buruk, tidak nyaman menggunakan apk ini. mau masuk apk saja terlalu lama loading dan layar tampilannya berwarna putih",negatif
5,2025-05-29 05:25:18,terbaik🥰,positif
1,2025-05-29 05:23:33,ga dapet kodw dari sms udah di tunggu dan di coba berjam jam tetep aja ga dapet,negatif
4,2025-05-29 05:14:41,membntu,positif
1,2025-05-29 04:47:35,aplikasi ngga jelass ngga berguna yang donwload udah mau sekarat ehh apknya buat daftar malah kaga bisa. lagian pake gini ginian segala kenapa sih.,negatif
1,2025-05-29 04:44:21,"aplikasinya stuck di kirim sms kode verifikasi, segera perbaiki",positif
1,2025-05-29 04:43:27,"masukan no telfon gak dapat kode otp masukan email, sudah pernah di daftarkan maksud nya ni gimana, gak jelas blasss",negatif
5,2025-05-29 04:41:30,cukup mengatasi masalah,positif
5,2025-05-29 04:36:19,ok,positif
1,2025-05-29 04:36:01,"kouta berobat nya masa cuman 15 orang sih,",negatif
5,2025-05-29 04:22:26,semua bagus,positif
5,2025-05-29 04:22:06,good,positif
1,2025-05-29 04:16:30,Mau daftar aja ngga bisa.,negatif
5,2025-05-29 04:11:33,gooodd. manthap,positif
1,2025-05-29 04:10:01,"aplikasi ini bisa digunakan apa gak sih, mau daftar aja stag diverifikasi OTP, sudah berulang kali kirim ulang kode tapi gak ada kode masuk. niat bikin aplikasi apa cuma biar cair anggaran saja.. 😞😞😞",negatif
1,2025-05-29 03:58:45,ribet banget udah pernah daftar tapi apk jarang di buka langsung keluar akunya mau masuk jadi ribet kek gak guna jadinya 😭,negatif
5,2025-05-29 03:51:54,bagus banget,positif
5,2025-05-29 03:47:25,bagusss,positif
1,2025-05-29 03:41:04,"niat g' sih buat aplikasi, verifikasi sulit udah senyum,kedip,hadap kiri. smp 10x tetep gagal. diulang lg lg ttp gagal. payah.",negatif
5,2025-05-29 03:38:34,sangat membantu dn brmanfaat,positif
1,2025-05-29 03:31:22,"ribet daftar kode lewat no hp segala harus ada pulsa, miskin amat pemerintah",negatif
5,2025-05-29 02:56:24,good service,positif
5,2025-05-29 02:40:50,mantap,positif
5,2025-05-29 02:40:19,ok,positif
5,2025-05-29 02:30:40,mudah sekali,positif
5,2025-05-29 02:14:24,makin mudah makin praktis,positif
5,2025-05-29 02:12:16,pelayanan baik dan ramah,positif
1,2025-05-29 02:10:01,pelayanan kesehatan buruk💩menyusahkan orang sakit ribet,negatif
1,2025-05-29 01:52:07,ini aplikasi mending di hapus aja sering eror pada saat pendaftaran ke faskes tingkat lanjut,negatif
1,2025-05-29 01:37:59,susah kali mintak kode verifikasi nomor hpnya masak udh 4 hari ...,negatif
5,2025-05-29 00:55:12,Mantap Aplikasinya dan memudahkan,positif
5,2025-05-29 00:40:29,baik,positif
1,2025-05-29 00:33:35,aplikasi ga jelas bgt mau daftar aja susah kode otp sms ga masuk' tinggal lewat wa apa susahnya si. makin mempersulit masyarakat aja👎🏻👎🏻👎🏻,negatif
5,2025-05-29 00:32:59,SANGAT MUDAH DAN INFORMASINYA LENGKAP,positif
5,2025-05-29 00:30:24,😍,positif
1,2025-05-29 00:21:02,dulu aplikasi ini jelas bagus dan saya sudah sering memakai mobile jkn sekarang tambah aplikasinya tambah ribet dan gk jls sy pikir cm sy aj trnyta sy bc ulasan jg sama mohon diperbaiki kembali buat aplikasiny supaya kita semua bisa dimudahkn utk memakai mobile jkn,negatif
1,2025-05-29 00:20:11,aplikasi error melulu,negatif
1,2025-05-29 00:16:10,"Makin kesini apk nya makin gak jelas bukanya diperbaiki malah tambah gak jelas, bikin org sulit aja",positif
5,2025-05-28 23:57:54,memudahkan pengguna,positif
1,2025-05-28 23:42:32,"gila, kode otpnya mana kocak, 3x ulang ga dateng dateng,",negatif
5,2025-05-28 23:38:40,sangat membantu karna bisa ambil antrian online juga di klinik lewat aplikasi JKN,positif
5,2025-05-28 23:20:50,Alhamdulillah semua jadi lebih mudah,positif
5,2025-05-28 23:19:30,sangat bermanfaat terimakasih buat semua keru yg bekerja di bidang ini,positif
5,2025-05-28 23:11:34,ok bagus praktis. terima kasih,positif
1,2025-05-28 22:07:23,"ini gimana ceritanya aplikasi minta update giliran di-update mau rubah data faskes saja nggak bisa muncul propinsi/ kabupatennya.... be profesional please, jangan cuma magabut",positif
1,2025-05-28 21:56:31,susah mengupdate JKN MOBILE,negatif
5,2025-05-28 20:35:34,aplikasi cukup baik,positif
4,2025-05-28 18:03:35,bagus,positif
5,2025-05-28 17:52:30,ok,positif
2,2025-05-28 17:35:09,aplikasi nya bisa di pake cuma pake data ajh... sedangkan dirumah pasang wifi bnrbnr ga bisa dibuka sama sekali kesalahan jaringan terus padahal sinyal bagus stabil. terus kadang tiba tiba log out sendiri,positif
1,2025-05-28 17:28:09,app masih banyak bug... udah daftar online no antriannya gak ada... mau daftar lagi no antrian hanya bisa diambil dihari yg sama....,negatif
5,2025-05-28 17:14:42,memudahkan segala persoalan kesehatan,positif
5,2025-05-28 17:06:52,ok,positif
1,2025-05-28 16:59:02,"Download sudah,mau verifikasi gagal terus...seburuk inikah aplikasinya buatan pemerintah...",negatif
5,2025-05-28 16:46:10,Mempermudah yang susah,positif
1,2025-05-28 16:20:30,"saran saya kalau kode otp melalui WhatsApp saja jangan melalui sms, tidak semua orang punya pulsa dek untuk menerima kode otp",negatif
1,2025-05-28 16:17:53,ga bsa daftar online,negatif
5,2025-05-28 15:48:53,saya sangat puas,positif
5,2025-05-28 15:14:29,bagi yg nggak bisa masuk kode veripikasi di mohon isi ulang dulu pulsa ke nomer yg di daptarkan soal nya memakay admin minimal 5000 sekedar info,positif
1,2025-05-28 14:52:44,Aplikasi apa ini. mau daftar tapi pas perekaman wajah nggak bisa kebaca nggak bisa lanjut daftar. mending uninstall aja,negatif
2,2025-05-28 14:40:37,"aplikasi ribet, bagus aplikasi my asn, mau daftar ke faskes pake online ribet, pernah ke puskesmas ambil rujukan, pas tiba giliran antrian jaringan hilang terputus padahal Sdh jam terakhir, akhirnya disuruh kembali besok, tentu makan biaya lagi, ini BPJS cuma ambil potongan gaji banyak dan dobel perorang padahal pelayanan bobrok",negatif
5,2025-05-28 14:27:56,sangat bagus,positif
1,2025-05-28 14:23:34,lagi mau daftar aplikasi tapi kode verifikasi OTP no hp ga muncul muncul sih ga ke kirim kirim berkali-kali coba tetep ga bisa,negatif
5,2025-05-28 14:21:29,sangat membantu,positif
5,2025-05-28 14:10:45,mudah,positif
1,2025-05-28 13:50:37,"Katanya membantu masyarakat, tapi kenapa bikin susahhh rakyat sendiri!?!?!?!?!? pindah faskes aja error banget. ambil tim IT darimana sih? jangan bilang kalian pergi ambil tim IT yang otaknya kek otak udang. makanya error begini saja tidak bisa ditangani!!!. lancai betul program pemerintah begini",negatif
5,2025-05-28 13:43:21,good,positif
1,2025-05-28 13:42:49,"saya mau daftar tapi setiap memasukkan no hp verifikasi nya nggk dikirim"" no juga tidak salah sampai diulang beberapa kali masih tidak dikirim",negatif
1,2025-05-28 13:42:44,aplikasi ga guna ga jelas. ini itu harus daftar dlu sedangkan daftarnya susah stengah mati. ga guna bgt,negatif
5,2025-05-28 13:40:41,good,positif
1,2025-05-28 13:37:51,aplikasi aneh sekali gagal ferifikasi tidak bisa digunakan lagi . karena nama penguna sudah masuk terdaftar tpi tidak punya alamat induk email atau no hp . sedangkan untuk masuk ke akun kita harus paki no atau email . harusnya jika alamat email atau no hp tidak memenuhi sarat ferifikasi ya harus gagal terdaftar agar kita bisa mengulangi lagi daftar dengan no induk kita .,negatif
5,2025-05-28 13:36:58,mantab,positif
1,2025-05-28 13:31:21,mau daptar aja ribet kali,negatif
5,2025-05-28 13:30:18,baik,positif
5,2025-05-28 13:08:34,Alhamdulillah sangat membantu,positif
5,2025-05-28 12:58:03,lebih detail,positif
1,2025-05-28 12:57:35,"Lama bener kirim kode SMS nya, ini aplikasi terurus gak ya? aplikasi yang diperlukan tapi seancur ini",negatif
5,2025-05-28 12:57:01,sangat mudah memahami panduanya,positif
1,2025-05-28 12:55:59,"mau daftar susah bgt jadi susah mau berobat, verifikasi wajah gagal terus",negatif
4,2025-05-28 12:35:34,"punya saya tiba"" ga bisa d buka... tak tahu alasannya",positif
5,2025-05-28 12:32:36,"nambah pengalaman, praktis dan lebih mudah",positif
